Port,Service,Protocol,Description,Assignee
112,mcidas,tcp,McIDAS Data Transmission Protocol,[Glenn_Davis]
113,ident,tcp,,
113,auth,tcp,Authentication Service,[Mike_St_Johns]
115,sftp,tcp,Simple File Transfer Protocol,[Mark_Lottor]
116,ansanotify,tcp,ANSA REX Notify,[Nicola_J_Howarth]
117,uucp-path,tcp,UUCP Path Service,
118,sqlserv,tcp,SQL Services,[Larry_Barnes]
119,nntp,tcp,Network News Transfer Protocol,[IESG]
120,cfdptkt,tcp,CFDPTKT,[John_Ioannidis]
121,erpc,tcp,Encore Expedited Remote Pro.Call,[Jack_ONeil]
122,smakynet,tcp,SMAKYNET,[Pierre_Arnaud]
123,ntp,tcp,Network Time Protocol,[Dave_Mills]
124,ansatrader,tcp,ANSA REX Trader,[Nicola_J_Howarth]
125,locus-map,tcp,Locus PC-Interface Net Map Ser,[Eric_Peterson]
126,nxedit,tcp,NXEdit,[Don_Payette]
127,locus-con,tcp,Locus PC-Interface Conn Server,[Eric_Peterson]
128,gss-xlicen,tcp,GSS X License Verification,[John_Light]
129,pwdgen,tcp,Password Generator Protocol,[Frank_J_Wacho]
130,cisco-fna,tcp,cisco FNATIVE,
131,cisco-tna,tcp,cisco TNATIVE,
132,cisco-sys,tcp,cisco SYSMAINT,
133,statsrv,tcp,Statistics Service,[Dave_Mills_2]
134,ingres-net,tcp,INGRES-NET Service,[Mike_Berrow]
135,epmap,tcp,DCE endpoint resolution,[Joe_Pato]
136,profile,tcp,PROFILE Naming System,[Larry_Peterson]
137,netbios-ns,tcp,NETBIOS Name Service,
138,netbios-dgm,tcp,NETBIOS Datagram Service,
139,netbios-ssn,tcp,NETBIOS Session Service,[Jon_Postel]
140,emfis-data,tcp,EMFIS Data Service,
141,emfis-cntl,tcp,EMFIS Control Service,[Gerd_Beling]
142,bl-idm,tcp,Britton-Lee IDM,[Susie_Snitzer]
143,imap,tcp,Internet Message Access Protocol,[IESG]
144,uma,tcp,Universal Management Architecture,[Jay_Whitney]
145,uaac,tcp,UAAC Protocol,[David_A_Gomberg]
146,iso-tp0,tcp,ISO-IP0,
147,iso-ip,tcp,ISO-IP,[Marshall_Rose]
148,jargon,tcp,Jargon,[Bill_Weinman]
149,aed-512,tcp,AED 512 Emulation Service,[Albert_G_Broscius]
150,sql-net,tcp,SQL-NET,[Martin_Picard]
151,hems,tcp,HEMS,
152,bftp,tcp,Background File Transfer Program,[Annette_DeSchon]
153,sgmp,tcp,SGMP,[Marty_Schoffstahl]
154,netsc-prod,tcp,NETSC,
155,netsc-dev,tcp,NETSC,[Sergio_Heker]
156,sqlsrv,tcp,SQL Service,[Craig_Rogers]
157,knet-cmp,tcp,KNET/VM Command/Message Protocol,[Gary_S_Malkin]
158,pcmail-srv,tcp,PCMail Server,[Mark_L_Lambert]
159,nss-routing,tcp,NSS-Routing,[Yakov_Rekhter]
160,sgmp-traps,tcp,SGMP-TRAPS,[Marty_Schoffstahl]
161,snmp,tcp,SNMP,
162,snmptrap,tcp,SNMPTRAP,[Marshall_Rose]
163,cmip-man,tcp,CMIP/TCP Manager,
