Port,Service,Protocol,Description,Assignee
1382,udt-os,tcp,"udt_os IANA assigned this well-formed service name as a replacement for ""udt_os"".",
1382,udt_os,tcp,udt_os,
1383,gwha,tcp,GW Hannaway Network License Manager,[J_Gabriel_Foster]
1384,os-licman,tcp,Objective Solutions License Manager,[Donald_Cornwell]
1385,atex-elmd,tcp,"Atex Publishing License Manager IANA assigned this well-formed service name as a replacement for ""atex_elmd"".",[Brett_Sorenson]
1385,atex_elmd,tcp,Atex Publishing License Manager,[Brett_Sorenson]
1386,checksum,tcp,CheckSum License Manager,[Andreas_Glocker]
1387,cadsi-lm,tcp,Computer Aided Design Software Inc LM,[Sulistio_Muljadi]
1388,objective-dbc,tcp,Objective Solutions DataBase Cache,[Donald_Cornwell_2]
1389,iclpv-dm,tcp,Document Manager,
1390,iclpv-sc,tcp,Storage Controller,
1391,iclpv-sas,tcp,Storage Access Server,
1392,iclpv-pm,tcp,Print Manager,
1393,iclpv-nls,tcp,Network Log Server,
1394,iclpv-nlc,tcp,Network Log Client,
1395,iclpv-wsm,tcp,PC Workstation Manager software,[A_P_Hobson]
1396,dvl-activemail,tcp,DVL Active Mail,
1397,audio-activmail,tcp,Audio Active Mail,
1398,video-activmail,tcp,Video Active Mail,[Avshalom_Houri]
1399,cadkey-licman,tcp,Cadkey License Manager,
1400,cadkey-tablet,tcp,Cadkey Tablet Daemon,[Joe_McCollough]
1401,goldleaf-licman,tcp,Goldleaf License Manager,[John_Fox]
1402,prm-sm-np,tcp,Prospero Resource Manager,
1403,prm-nm-np,tcp,Prospero Resource Manager,[B_Clifford_Neuman]
1404,igi-lm,tcp,Infinite Graphics License Manager,
1405,ibm-res,tcp,IBM Remote Execution Starter,
1406,netlabs-lm,tcp,NetLabs License Manager,
1407,tibet-server,tcp,TIBET Data Server,[Technical_Pursuit_Inc]
1408,sophia-lm,tcp,Sophia License Manager,[Eric_Brown]
1409,here-lm,tcp,Here License Manager,[David_Ison]
1410,hiq,tcp,HiQ License Manager,[Rick_Pugh]
1411,af,tcp,AudioFile,[Jim_Gettys]
1412,innosys,tcp,InnoSys,
1413,innosys-acl,tcp,Innosys-ACL,[Eric_Welch]
1414,ibm-mqseries,tcp,IBM MQSeries,[Roger_Meli]
1415,dbstar,tcp,DBStar,[Jeffrey_Millman]
1416,novell-lu6-2,tcp,"Novell LU6.2 IANA assigned this well-formed service name as a replacement for ""novell-lu6.2"".",[Peter_Liu]
1416,novell-lu6.2,tcp,Novell LU6.2,[Peter_Liu]
1417,timbuktu-srv1,tcp,Timbuktu Service 1 Port,
1418,timbuktu-srv2,tcp,Timbuktu Service 2 Port,
1419,timbuktu-srv3,tcp,Timbuktu Service 3 Port,
1420,timbuktu-srv4,tcp,Timbuktu Service 4 Port,[Marc_Epard]
1421,gandalf-lm,tcp,Gandalf License Manager,[gilmer]
1422,autodesk-lm,tcp,Autodesk License Manager,[David_Ko]
1423,essbase,tcp,Essbase Arbor Software,
1424,hybrid,tcp,Hybrid Encryption Protocol,[Howard_Hart]
1425,zion-lm,tcp,Zion Software License Manager,[David_Ferrero]
1426,sais,tcp,Satellite-data Acquisition System 1,[Bill_Taylor]
1427,mloadd,tcp,mloadd monitoring tool,[Bob_Braden_2]
1428,informatik-lm,tcp,Informatik License Manager,[Harald_Schlangmann]
1429,nms,tcp,Hypercom NMS,
1430,tpdu,tcp,Hypercom TPDU,[Noor_Chowdhury]
1431,rgtp,tcp,Reverse Gossip Transport,[Ian_Jackson]
1432,blueberry-lm,tcp,Blueberry Software License Manager,[Steve_Beigel]
1433,ms-sql-s,tcp,Microsoft-SQL-Server,
1434,ms-sql-m,tcp,Microsoft-SQL-Monitor,[Peter_Hussey]
1435,ibm-cics,tcp,IBM CICS,[Geoff_Meacock]
1436,saism,tcp,Satellite-data Acquisition System 2,[Bill_Taylor]
1437,tabula,tcp,Tabula,[Marcelo_Einhorn]
1438,eicon-server,tcp,Eicon Security Agent/Server,
1439,eicon-x25,tcp,Eicon X25/SNA Gateway,
1440,eicon-slp,tcp,Eicon Service Location Protocol,[Pat_Calhoun]
1441,cadis-1,tcp,Cadis License Management,
1442,cadis-2,tcp,Cadis License Management,[Todd_Wichers]
1443,ies-lm,tcp,Integrated Engineering Software,[David_Tong]
1444,marcam-lm,tcp,Marcam  License Management,[Therese_Hunt]
1445,proxima-lm,tcp,Proxima License Manager,
1446,ora-lm,tcp,Optical Research Associates License Manager,
1447,apri-lm,tcp,Applied Parallel Research LM,[Jim_Dillon]
1448,oc-lm,tcp,OpenConnect License Manager,[Sue_Barnhill]
1449,peport,tcp,PEport,[Qentin_Neill]
1450,dwf,tcp,Tandem Distributed Workbench Facility,[Mike_Bert]
1451,infoman,tcp,IBM Information Management,[Karen_Burns]
1452,gtegsc-lm,tcp,GTE Government Systems License Man,[Mike_Gregory]
1453,genie-lm,tcp,Genie License Manager,[Paul_Applegate]
1454,interhdl-elmd,tcp,"interHDL License Manager IANA assigned this well-formed service name as a replacement for ""interhdl_elmd"".",[Eli_Sternheim]
1454,interhdl_elmd,tcp,interHDL License Manager,[Eli_Sternheim]
1455,esl-lm,tcp,ESL License Manager,[Abel_Chou]
1456,dca,tcp,DCA,[Jeff_Garbers_2]
1457,valisys-lm,tcp,Valisys License Manager,[Leslie_Lincoln]
1458,nrcabq-lm,tcp,Nichols Research Corp.,[Howard_Cole]
1459,proshare1,tcp,Proshare Notebook Application,
1460,proshare2,tcp,Proshare Notebook Application,[Robin_Kar]
1461,ibm-wrless-lan,tcp,"IBM Wireless LAN IANA assigned this well-formed service name as a replacement for ""ibm_wrless_lan"".",[flanne]
1461,ibm_wrless_lan,tcp,IBM Wireless LAN,[flanne]
1462,world-lm,tcp,World License Manager,[Michael_S_Amirault]
1463,nucleus,tcp,Nucleus,[Venky_Nagar]
1464,msl-lmd,tcp,"MSL License Manager IANA assigned this well-formed service name as a replacement for ""msl_lmd"".",[Matt_Timmermans]
1464,msl_lmd,tcp,MSL License Manager,[Matt_Timmermans]
1465,pipes,tcp,Pipes Platform,[Mark_Farlin]
1466,oceansoft-lm,tcp,Ocean Software License Manager,[Randy_Leonard]
1467,csdmbase,tcp,CSDMBASE,
1468,csdm,tcp,CSDM,[Robert_Stabl]
1469,aal-lm,tcp,Active Analysis Limited License Manager,[David_Snocken]
1470,uaiact,tcp,Universal Analytics,[Mark_R_Ludwig]
1471,csdmbase,tcp,csdmbase,
1472,csdm,tcp,csdm,[Robert_Stabl]
1473,openmath,tcp,OpenMath,[Garth_Mayville]
1474,telefinder,tcp,Telefinder,[Jim_White]
1475,taligent-lm,tcp,Taligent License Manager,[Mark_Sapsford]
1476,clvm-cfg,tcp,clvm-cfg,[Eric_Soderberg]
1477,ms-sna-server,tcp,ms-sna-server,
1478,ms-sna-base,tcp,ms-sna-base,[Gordon_Mangione]
1479,dberegister,tcp,dberegister,[Brian_Griswold]
1480,pacerforum,tcp,PacerForum,[Peter_Caswell]
1481,airs,tcp,AIRS,[Bruce_Wilson]
1482,miteksys-lm,tcp,Miteksys License Manager,[Shane_McRoberts]
1483,afs,tcp,AFS License Manager,[Michael_R_Pizolato]
1484,confluent,tcp,Confluent License Manager,[James_Greenfiel]
1485,lansource,tcp,LANSource,[Christopher_Wells]
1486,nms-topo-serv,tcp,"nms_topo_serv IANA assigned this well-formed service name as a replacement for ""nms_topo_serv"".",[Sylvia_Siu]
1486,nms_topo_serv,tcp,nms_topo_serv,[Sylvia_Siu]
1487,localinfosrvr,tcp,LocalInfoSrvr,[Brian_Matthews_2]
1488,docstor,tcp,DocStor,[Brian_Spears]
1489,dmdocbroker,tcp,dmdocbroker,[Razmik_Abnous]
1490,insitu-conf,tcp,insitu-conf,[Paul_Blacknell]
1492,stone-design-1,tcp,stone-design-1,[Andrew_Stone]
1493,netmap-lm,tcp,"netmap_lm IANA assigned this well-formed service name as a replacement for ""netmap_lm"".",[Phillip_Magson]
1493,netmap_lm,tcp,netmap_lm,[Phillip_Magson]
1494,ica,tcp,ica,[John_Richardson]
1495,cvc,tcp,cvc,[Bill_Davidson]
1496,liberty-lm,tcp,liberty-lm,[Jim_Rogers]
1497,rfx-lm,tcp,rfx-lm,[Bill_Bishop]
1498,sybase-sqlany,tcp,Sybase SQL Any,[Dave_Neudoerffer]
1499,fhc,tcp,Federico Heinz Consultora,[Federico_Heinz]
1500,vlsi-lm,tcp,VLSI License Manager,[Shue_Lin_Kuo]
1501,saiscm,tcp,Satellite-data Acquisition System 3,[Bill_Taylor]
1502,shivadiscovery,tcp,Shiva,[Jonathan_Wenocur]
1503,imtc-mcs,tcp,Databeam,[Jim_Johnston]
1504,evb-elm,tcp,EVB Software Engineering License Manager,[B_G_Mahesh]
1505,funkproxy,tcp,"Funk Software, Inc.",[Robert_D_Vincent]
1506,utcd,tcp,Universal Time daemon (utcd),[Walter_Poxon]
1507,symplex,tcp,symplex,[Mike_Turley]
1508,diagmond,tcp,diagmond,[Pete_Moscatelli]
1509,robcad-lm,tcp,"Robcad, Ltd. License Manager",[Hindin_Joseph]
1510,mvx-lm,tcp,Midland Valley Exploration Ltd. Lic. Man.,[Neil_Salter]
1511,3l-l1,tcp,3l-l1,[Ian_A_Young]
1512,wins,tcp,Microsoft's Windows Internet Name Service,[Pradeep_Bahl]
1513,fujitsu-dtc,tcp,"Fujitsu Systems Business of America, Inc",
1514,fujitsu-dtcns,tcp,"Fujitsu Systems Business of America, Inc",[Charles_A_Higgins]
1515,ifor-protocol,tcp,ifor-protocol,[Dr_R_P_Alston]
1516,vpad,tcp,Virtual Places Audio data,
1517,vpac,tcp,Virtual Places Audio control,
1518,vpvd,tcp,Virtual Places Video data,
1519,vpvc,tcp,Virtual Places Video control,[Avshalom_Houri]
1520,atm-zip-office,tcp,atm zip office,[Wilson_Kwan]
1521,ncube-lm,tcp,nCube License Manager,[Maxine_Yuen]
1522,ricardo-lm,tcp,Ricardo North America License Manager,[Mike_Flemming]
1523,cichild-lm,tcp,cichild,[Andy_Burgess]
1524,ingreslock,tcp,ingres,
1525,orasrv,tcp,oracle,
1525,prospero-np,tcp,Prospero Directory Service non-priv,
1526,pdap-np,tcp,Prospero Data Access Prot non-priv,[B_Clifford_Neuman]
1527,tlisrv,tcp,oracle,
1528,norp,tcp,Not Only a Routeing Protocol,[nyantec]
1529,coauthor,tcp,oracle,
1530,rap-service,tcp,rap-service,
1531,rap-listen,tcp,rap-listen,[Phil_Servita]
1532,miroconnect,tcp,miroconnect,[Michael_Fischer_2]
1533,virtual-places,tcp,Virtual Places Software,[Avshalom_Houri]
1534,micromuse-lm,tcp,micromuse-lm,[Adam_Kerrison]
1535,ampr-info,tcp,ampr-info,
1536,ampr-inter,tcp,ampr-inter,[Rob_Janssen]
1537,sdsc-lm,tcp,isi-lm,[Len_Wanger]
1538,3ds-lm,tcp,3ds-lm,[Keith_Trummel]
1539,intellistor-lm,tcp,Intellistor License Manager,[Ron_Vaughn]
1540,rds,tcp,rds,
1541,rds2,tcp,rds2,[Sudhakar_Rajamannar]
1542,gridgen-elmd,tcp,gridgen-elmd,[John_R_Chawner]
1543,simba-cs,tcp,simba-cs,[Betsy_Alexander]
1544,aspeclmd,tcp,aspeclmd,[V_Balaji]
1545,vistium-share,tcp,vistium-share,[Allison_Carleton]
1546,abbaccuray,tcp,abbaccuray,[John_Wendt]
1547,laplink,tcp,laplink,[Michael_Crawford]
1548,axon-lm,tcp,Axon License Manager,[Mark_Pearce]
1549,shivahose,tcp,Shiva Hose,
1550,3m-image-lm,tcp,Image Storage license manager 3M Company,[J_C_Canessa]
1551,hecmtl-db,tcp,HECMTL-DB,[Maxime_Belanger]
1552,pciarray,tcp,pciarray,[Ron_Folk]
1553,sna-cs,tcp,sna-cs,[Tony_Sowter]
1554,caci-lm,tcp,CACI Products Company License Manager,[Erik_Blume]
1555,livelan,tcp,livelan,[Kaynam_Hedayat]
1556,veritas-pbx,tcp,"VERITAS Private Branch Exchange IANA assigned this well-formed service name as a replacement for ""veritas_pbx"".",[Stefan_Winkel]
1556,veritas_pbx,tcp,VERITAS Private Branch Exchange,[Stefan_Winkel]
1557,arbortext-lm,tcp,ArborText License Manager,[David_J_Wilson]
1558,xingmpeg,tcp,xingmpeg,[Howard_Gordon]
1559,web2host,tcp,web2host,[Stephen_Johnson]
1560,asci-val,tcp,ASCI-RemoteSHADOW,[Benjamin_Rosenberg]
1561,facilityview,tcp,facilityview,[Ed_Green]
1562,pconnectmgr,tcp,pconnectmgr,[Bob_Kaiser]
1563,cadabra-lm,tcp,Cadabra License Manager,[Arthur_Castonguay]
1564,pay-per-view,tcp,Pay-Per-View,[Brian_Tung]
1565,winddlb,tcp,WinDD,[Kelly_Sims]
1566,corelvideo,tcp,CORELVIDEO,[Ming_Poon]
1567,jlicelmd,tcp,jlicelmd,[Christian_Schormann]
1568,tsspmap,tcp,tsspmap,[Paul_W_Nelson]
1569,ets,tcp,ets,[Carstein_Seeberg]
1570,orbixd,tcp,orbixd,[Bridget_Walsh]
1571,rdb-dbs-disp,tcp,Oracle Remote Data Base,[mackin]
1572,chip-lm,tcp,Chipcom License Manager,
1573,itscomm-ns,tcp,itscomm-ns,[Rich_Thompson]
1574,mvel-lm,tcp,mvel-lm,[David_Bisset]
1575,oraclenames,tcp,oraclenames,[P_V_Shivkumar]
1576,moldflow-lm,tcp,Moldflow License Manager,[Lech_Laskowski]
1577,hypercube-lm,tcp,hypercube-lm,[Christopher_McLendon]
1578,jacobus-lm,tcp,Jacobus License Manager,[Tony_Cleveland]
1579,ioc-sea-lm,tcp,ioc-sea-lm,[Paul_Nelson]
1580,tn-tl-r1,tcp,tn-tl-r1,
1581,mil-2045-47001,tcp,MIL-2045-47001,[Eric_Whitehill]
1582,msims,tcp,MSIMS,[Glenn_Olander]
1583,simbaexpress,tcp,simbaexpress,[Betsy_Alexander]
1584,tn-tl-fd2,tcp,tn-tl-fd2,[Ed_Kress]
1585,intv,tcp,intv,[Dermot_Tynand]
1586,ibm-abtact,tcp,ibm-abtact,[Sandeep_K_Singhal]
1587,pra-elmd,tcp,"pra_elmd IANA assigned this well-formed service name as a replacement for ""pra_elmd"".",[Dennis_Mastin]
1587,pra_elmd,tcp,pra_elmd,[Dennis_Mastin]
1588,triquest-lm,tcp,triquest-lm,[Nand_Kumar]
1589,vqp,tcp,VQP,[Keith_McCloghrie]
1590,gemini-lm,tcp,gemini-lm,[Tony_Sawyer]
1591,ncpm-pm,tcp,ncpm-pm,[Ted_Power]
1592,commonspace,tcp,commonspace,[Rob_Chandhok_2]
1593,mainsoft-lm,tcp,mainsoft-lm,[Anand_Gangadharan]
1594,sixtrak,tcp,sixtrak,[Red_Lion_Controls]
1595,radio,tcp,radio,
1596,radio-sm,tcp,radio-sm,
1597,orbplus-iiop,tcp,orbplus-iiop,[Robert_A_Kukura]
1598,picknfs,tcp,picknfs,[John_Lombardo]
1599,simbaservices,tcp,simbaservices,[Betsy_Alexander]
1600,issd,tcp,issd,
1601,aas,tcp,aas,[Bob_Beard]
1602,inspect,tcp,inspect,[Frank_O_Neill]
1603,picodbc,tcp,pickodbc,[John_Lombardo]
1604,icabrowser,tcp,icabrowser,[Brad_Pedersen]
1605,slp,tcp,Salutation Manager (Salutation Protocol),
1606,slm-api,tcp,Salutation Manager (SLM-API),[Tohru_Mori]
1607,stt,tcp,stt,[Ryan_Bolz]
1608,smart-lm,tcp,Smart Corp. License Manager,[Connie_Qiu]
1609,isysg-lm,tcp,isysg-lm,[Adam_Curtin]
1610,taurus-wh,tcp,taurus-wh,[Jeff_Moffatt]
1611,ill,tcp,Inter Library Loan,[Niall_Murphy]
1612,netbill-trans,tcp,NetBill Transaction Server,
1613,netbill-keyrep,tcp,NetBill Key Repository,
1614,netbill-cred,tcp,NetBill Credential Server,
1615,netbill-auth,tcp,NetBill Authorization Server,
1616,netbill-prod,tcp,NetBill Product Server,[Marvin_Sirbu]
1617,nimrod-agent,tcp,Nimrod Inter-Agent Communication,[Charles_Lynn]
1618,skytelnet,tcp,skytelnet,[Byron_Jones]
1619,xs-openstorage,tcp,xs-openstorage,[XuiS_Software_Ltd]
1620,faxportwinport,tcp,faxportwinport,[Chris_Wells]
1621,softdataphone,tcp,softdataphone,[Dror_Gill]
1622,ontime,tcp,ontime,[Keith_Rhodes]
1623,jaleosnd,tcp,jaleosnd,[Christian_Schormann]
1624,udp-sr-port,tcp,udp-sr-port,[Herb_Jensen]
1625,svs-omagent,tcp,svs-omagent,[Alberto_Berlen]
1626,shockwave,tcp,Shockwave,[Sarah_Allen]
1627,t128-gateway,tcp,T.128 Gateway,[Phil_May]
1628,lontalk-norm,tcp,LonTalk normal,
1629,lontalk-urgnt,tcp,LonTalk urgent,[Bob_Dolin]
1630,oraclenet8cman,tcp,Oracle Net8 Cman,[Tong_Ming_Lee]
1631,visitview,tcp,Visit view,[Tom_Whittaker]
1632,pammratc,tcp,PAMMRATC,
1633,pammrpc,tcp,PAMMRPC,[John_Britton]
1634,loaprobe,tcp,Log On America Probe,[James_Tavares]
1635,edb-server1,tcp,EDB Server 1,[Carlos_Portela]
1636,isdc,tcp,ISP shared public data control,
1637,islc,tcp,ISP shared local data control,
1638,ismc,tcp,ISP shared management control,[Nick_Austin]
1639,cert-initiator,tcp,cert-initiator,
1640,cert-responder,tcp,cert-responder,[Tom_Markson]
1641,invision,tcp,InVision,[Christopher_Davey]
1642,isis-am,tcp,isis-am,
1643,isis-ambc,tcp,isis-ambc,[Ken_Chapman]
1644,saiseh,tcp,Satellite-data Acquisition System 4,[Bill_Taylor]
1645,sightline,tcp,SightLine,[admin]
1646,sa-msg-port,tcp,sa-msg-port,[Eric_Whitehill]
1647,rsap,tcp,rsap,[Holger_Reif]
1648,concurrent-lm,tcp,concurrent-lm,[Maggie_Brinsford]
1649,kermit,tcp,kermit,[Frank_da_Cruz]
1650,nkd,tcp,nkdn,
1651,shiva-confsrvr,tcp,"shiva_confsrvr IANA assigned this well-formed service name as a replacement for ""shiva_confsrvr"".",[Mike_Horowitz]
1651,shiva_confsrvr,tcp,shiva_confsrvr,[Mike_Horowitz]
1652,xnmp,tcp,xnmp,[Ali_Saleh]
1653,alphatech-lm,tcp,alphatech-lm,[Joseph_Hauk]
1654,stargatealerts,tcp,stargatealerts,[Tim_Coppernoll]
1655,dec-mbadmin,tcp,dec-mbadmin,
1656,dec-mbadmin-h,tcp,dec-mbadmin-h,[Nick_Shipman]
1657,fujitsu-mmpdc,tcp,fujitsu-mmpdc,[Katsumi_Oomuro]
1658,sixnetudr,tcp,sixnetudr,[Red_Lion_Controls]
1659,sg-lm,tcp,Silicon Grail License Manager,[William_R_Bishop]
1660,skip-mc-gikreq,tcp,skip-mc-gikreq,[Tom_Markson]
1661,netview-aix-1,tcp,netview-aix-1,
1662,netview-aix-2,tcp,netview-aix-2,
1663,netview-aix-3,tcp,netview-aix-3,
1664,netview-aix-4,tcp,netview-aix-4,
1665,netview-aix-5,tcp,netview-aix-5,
1666,netview-aix-6,tcp,netview-aix-6,
1667,netview-aix-7,tcp,netview-aix-7,
1668,netview-aix-8,tcp,netview-aix-8,
1669,netview-aix-9,tcp,netview-aix-9,
1670,netview-aix-10,tcp,netview-aix-10,
1671,netview-aix-11,tcp,netview-aix-11,
1672,netview-aix-12,tcp,netview-aix-12,[Martha_Crisson]
1673,proshare-mc-1,tcp,Intel Proshare Multicast,
1674,proshare-mc-2,tcp,Intel Proshare Multicast,[Mark_Lewis]
1675,pdp,tcp,Pacific Data Products,[Gary_Morton]
1676,netcomm1,tcp,netcomm1,
1677,groupwise,tcp,groupwise,[Brent_Bradshaw]
1678,prolink,tcp,prolink,[Brian_Abramson]
1679,darcorp-lm,tcp,darcorp-lm,[DARcorp]
1680,microcom-sbp,tcp,microcom-sbp,[Boris_B_Maiden]
1681,sd-elmd,tcp,sd-elmd,[Bryan_Otey]
1682,lanyon-lantern,tcp,lanyon-lantern,[Robin_Lewis]
1683,ncpm-hip,tcp,ncpm-hip,[Ken_Hearn]
1684,snaresecure,tcp,SnareSecure,[Marty_Batchelder]
1685,n2nremote,tcp,n2nremote,[Kin_Chan_2]
1686,cvmon,tcp,cvmon,[Carol_Ann_Krug]
1687,nsjtp-ctrl,tcp,nsjtp-ctrl,
1688,nsjtp-data,tcp,nsjtp-data,[Orazio_Granato]
1689,firefox,tcp,firefox,[Mark_S_Edwards]
1690,ng-umds,tcp,ng-umds,[Louis_E_Simard]
1691,empire-empuma,tcp,empire-empuma,[Bobby_Krupczak]
1692,sstsys-lm,tcp,sstsys-lm,[Yih_Wu_Wang]
1693,rrirtr,tcp,rrirtr,
1694,rrimwm,tcp,rrimwm,
1695,rrilwm,tcp,rrilwm,
1696,rrifmm,tcp,rrifmm,
1697,rrisat,tcp,rrisat,[Allen_Briggs]
1698,rsvp-encap-1,tcp,RSVP-ENCAPSULATION-1,
1699,rsvp-encap-2,tcp,RSVP-ENCAPSULATION-2,[Bob_Braden_2]
1700,mps-raft,tcp,mps-raft,[Jason_Leupen]
1701,l2f,tcp,l2f,
1701,l2tp,tcp,l2tp,[Andy_Valencia]
1702,deskshare,tcp,deskshare,[Sarah_Thompson]
1703,hb-engine,tcp,hb-engine,[Charles_C_L_Chou]
1704,bcs-broker,tcp,bcs-broker,[Andy_Warner]
1705,slingshot,tcp,slingshot,[Paul_Groarke]
1706,jetform,tcp,jetform,[gdeinsta]
1707,vdmplay,tcp,vdmplay,[David_Thielen]
1708,gat-lmd,tcp,gat-lmd,[Igor_Zaoutine]
1709,centra,tcp,centra,[Drew_Wolff]
1710,impera,tcp,impera,[Stepehen_Campbell]
1711,pptconference,tcp,pptconference,[John_Tafoya]
1712,registrar,tcp,resource monitoring service,[Ron_Lawson]
1713,conferencetalk,tcp,ConferenceTalk,[George_Kajos]
1714,sesi-lm,tcp,sesi-lm,
1715,houdini-lm,tcp,houdini-lm,[Paul_Breslin]
1716,xmsg,tcp,xmsg,[Mark_E_Fogle]
1717,fj-hdnet,tcp,fj-hdnet,[Manabu_Makino]
1718,h323gatedisc,tcp,H.323 Multicast Gatekeeper Discover,[ITU-T]
1719,h323gatestat,tcp,H.323 Unicast Gatekeeper Signaling,[ITU-T]
1720,h323hostcall,tcp,H.323 Call Control Signalling,[ITU-T]
1721,caicci,tcp,caicci,[Sylvia_Scheuren]
1722,hks-lm,tcp,HKS License Manager,[Michael_Wood]
1723,pptp,tcp,pptp,[Ken_Crocker]
1724,csbphonemaster,tcp,csbphonemaster,[Hans_Peter_Heffels]
1725,iden-ralp,tcp,iden-ralp,[Chris_Stanaway]
1726,iberiagames,tcp,IBERIAGAMES,[Jose_Luis]
1727,winddx,tcp,winddx,[Bill_Andrews]
1728,telindus,tcp,TELINDUS,[Paul_Pyck]
1729,citynl,tcp,CityNL License Management,[CityDisc]
1730,roketz,tcp,roketz,[Ahti_Heinla]
1731,msiccp,tcp,MSICCP,[Max_Morris]
1732,proxim,tcp,proxim,[Srinivas_N_Mogalapa]
1733,siipat,tcp,SIMS - SIIPAT Protocol for Alarm Transmission,[Steve_Ryckman]
1734,cambertx-lm,tcp,Camber Corporation License Management,[Jeannie_Burleson]
1735,privatechat,tcp,PrivateChat,[Louis_E_Simard]
1736,street-stream,tcp,street-stream,[Glenn_Levitt]
1737,ultimad,tcp,ultimad,[Michael_Lanzetta]
1738,gamegen1,tcp,GameGen1,[Glen_Pearson]
1739,webaccess,tcp,webaccess,[Christian_Saether]
1740,encore,tcp,encore,[Stuart_Button]
1741,cisco-net-mgmt,tcp,cisco-net-mgmt,[John_McCormack]
1742,3Com-nsd,tcp,3Com-nsd,[Nitza_Steinberg]
1743,cinegrfx-lm,tcp,Cinema Graphics License Manager,[Rodney_Iwashina]
1744,ncpm-ft,tcp,ncpm-ft,[Ken_Hearn]
1745,remote-winsock,tcp,remote-winsock,[Avi_Nathan]
1746,ftrapid-1,tcp,ftrapid-1,
1747,ftrapid-2,tcp,ftrapid-2,[Richard_J_Williams]
1748,oracle-em1,tcp,oracle-em1,[Bob_Purvy]
1749,aspen-services,tcp,aspen-services,[Mark_B_Hurst]
1750,sslp,tcp,Simple Socket Library's PortMaster,[Dr_Charles_E_Campb]
1751,swiftnet,tcp,SwiftNet,[Terry_Lim]
1752,lofr-lm,tcp,Leap of Faith Research License Manager,
1753,predatar-comms,tcp,Predatar Comms Service,[Silverstring_Ltd]
1754,oracle-em2,tcp,oracle-em2,[Bob_Purvy]
1755,ms-streaming,tcp,ms-streaming,[Bret_O_Rourke]
1756,capfast-lmd,tcp,capfast-lmd,[Chuck_Neal]
1757,cnhrp,tcp,cnhrp,[William_Stoye]
1758,tftp-mcast,tcp,tftp-mcast,[Tom_Emberson]
1759,spss-lm,tcp,SPSS License Manager,[Tex_Hull]
1760,www-ldap-gw,tcp,www-ldap-gw,[Nick_Emery]
1761,cft-0,tcp,cft-0,[Martine_Marchand]
1762,cft-1,tcp,cft-1,[Martine_Marchand]
1763,cft-2,tcp,cft-2,[Martine_Marchand]
1764,cft-3,tcp,cft-3,[Martine_Marchand]
1765,cft-4,tcp,cft-4,[Martine_Marchand]
1766,cft-5,tcp,cft-5,[Martine_Marchand]
1767,cft-6,tcp,cft-6,[Martine_Marchand]
1768,cft-7,tcp,cft-7,[Martine_Marchand]
1769,bmc-net-adm,tcp,bmc-net-adm,[Portnoy_Boxman]
1770,bmc-net-svc,tcp,bmc-net-svc,[Portnoy_Boxman]
1771,vaultbase,tcp,vaultbase,[Jose_A_Sesin]
1772,essweb-gw,tcp,EssWeb Gateway,[Bob_Nattenberg]
1773,kmscontrol,tcp,KMSControl,[Roy_Chastain]
1774,global-dtserv,tcp,global-dtserv,[Nicholas_Davies]
1775,vdab,tcp,data interchange between visual processing containers,[MJA_Technology_LLC]
1776,femis,tcp,Federal Emergency Management Information System,[Larry_Gerhardstein]
1777,powerguardian,tcp,powerguardian,[Charles_Bennett]
1778,prodigy-intrnet,tcp,prodigy-internet,[Bob_Dedrick]
1779,pharmasoft,tcp,pharmasoft,[Ola_Strandberg]
1780,dpkeyserv,tcp,dpkeyserv,[Yasunari_Gon_Yamasit]
1781,answersoft-lm,tcp,answersoft-lm,[James_A_Brewster]
1782,hp-hcip,tcp,hp-hcip,[Allen_Baker]
1784,finle-lm,tcp,Finle License Manager,[Dongling_Wang]
1785,windlm,tcp,Wind River Systems License Manager,[Will_Dere]
1786,funk-logger,tcp,funk-logger,
1787,funk-license,tcp,funk-license,[Cimarron_Boozer][Eric_Wilde]
1788,psmond,tcp,psmond,[Will_Golson]
1789,hello,tcp,hello,[D_J_Bernstein]
1790,nmsp,tcp,Narrative Media Streaming Protocol,[Paul_Santinelli_Jr]
1791,ea1,tcp,EA1,[Kirk_MacLean]
1792,ibm-dt-2,tcp,ibm-dt-2,[Sam_Borman]
1793,rsc-robot,tcp,rsc-robot,[Andrew_Jay_Schneider]
1794,cera-bcm,tcp,cera-bcm,[Leo_Moesgaard]
1795,dpi-proxy,tcp,dpi-proxy,[Charles_Gordon]
1796,vocaltec-admin,tcp,Vocaltec Server Administration,[Scott_Petrack]
1797,uma,tcp,UMA,[Martin_Kirk]
1798,etp,tcp,Event Transfer Protocol,[Mike_Wray]
1799,netrisk,tcp,NETRISK,[Kevin_Green]
1800,ansys-lm,tcp,ANSYS-License manager,[Suzanne_Lorrin_2]
1801,msmq,tcp,Microsoft Message Que,[Amnon_Horowitz]
1802,concomp1,tcp,ConComp1,[Ed_Vincent]
1803,hp-hcip-gwy,tcp,HP-HCIP-GWY,[Allen_Baker]
1804,enl,tcp,ENL,[Brian_Olson]
1805,enl-name,tcp,ENL-Name,[Brian_Olson]
1806,musiconline,tcp,Musiconline,[Craig_Weeks]
1807,fhsp,tcp,Fujitsu Hot Standby Protocol,[Eiki_Iwata]
